Node: 104.23.112.1, Ping: 235.662 ms, Download Speed: 3601951.77 Mbps
Node: 104.23.112.2, Ping: 235.662 ms, Download Speed: 2518008.62 Mbps
Node: 104.23.112.3, Ping: 235.662 ms, Download Speed: 1347694.40 Mbps
Node: 104.23.112.4, Ping: 270.936 ms, Download Speed: 2017363.69 Mbps
Node: 104.23.112.5, Ping: 270.936 ms, Download Speed: 6289306.33 Mbps
Node: 104.23.112.6, Ping: 306.914 ms, Download Speed: 3929521.77 Mbps
Node: 104.23.112.7, Ping: 306.914 ms, Download Speed: 2218818.67 Mbps
Node: 104.23.112.8, Ping: 306.914 ms, Download Speed: 3097481.10 Mbps
Node: 104.23.112.9, Ping: 306.914 ms, Download Speed: 8344603.26 Mbps
Node: 104.23.112.10, Ping: 306.914 ms, Download Speed: 3216240.30 Mbps
Node: 104.23.112.11, Ping: 262.093 ms, Download Speed: 4660843.51 Mbps
Node: 104.23.112.12, Ping: 301.966 ms, Download Speed: 2331560.34 Mbps
Node: 104.23.112.13, Ping: 301.966 ms, Download Speed: 1919710.05 Mbps
Node: 104.23.112.14, Ping: 242.730 ms, Download Speed: 6262711.13 Mbps
Node: 104.23.112.15, Ping: 242.730 ms, Download Speed: 2252211.48 Mbps
Node: 104.23.112.16, Ping: 472.050 ms, Download Speed: 3288390.86 Mbps
Node: 104.23.112.17, Ping: 297.464 ms, Download Speed: 4214057.39 Mbps
Node: 104.23.112.18, Ping: 297.464 ms, Download Speed: 7747055.01 Mbps
Node: 104.23.112.19, Ping: 297.464 ms, Download Speed: 1912614.58 Mbps
Node: 104.23.112.20, Ping: 553.625 ms, Download Speed: 2578630.70 Mbps
Node: 104.23.112.21, Ping: 553.625 ms, Download Speed: 2586550.61 Mbps
Node: 104.23.112.22, Ping: 302.915 ms, Download Speed: 2724023.15 Mbps
Node: 104.23.112.23, Ping: 302.915 ms, Download Speed: 5112447.68 Mbps
Node: 104.23.112.24, Ping: 302.915 ms, Download Speed: 6371409.73 Mbps
Node: 104.23.112.25, Ping: 302.367 ms, Download Speed: 1076756.74 Mbps
Node: 104.23.112.26, Ping: 601.162 ms, Download Speed: 3798502.96 Mbps
Node: 104.23.112.27, Ping: 601.162 ms, Download Speed: 3632414.83 Mbps
Node: 104.23.112.28, Ping: 259.352 ms, Download Speed: 4999961.93 Mbps
Node: 104.23.112.29, Ping: 312.350 ms, Download Speed: 4088887.37 Mbps
Node: 104.23.112.30, Ping: 321.139 ms, Download Speed: 3074421.83 Mbps
Node: 104.23.112.31, Ping: 248.578 ms, Download Speed: 2259438.84 Mbps
Node: 104.23.112.32, Ping: 249.888 ms, Download Speed: 5284162.52 Mbps
Node: 104.23.112.33, Ping: 249.888 ms, Download Speed: 6786170.48 Mbps
Node: 104.23.112.34, Ping: 249.888 ms, Download Speed: 4612293.06 Mbps
Node: 104.23.112.35, Ping: 249.888 ms, Download Speed: 2672162.82 Mbps
Node: 104.23.112.36, Ping: 351.861 ms, Download Speed: 2565691.34 Mbps
Node: 104.23.112.37, Ping: 351.861 ms, Download Speed: 3144192.75 Mbps
Node: 104.23.112.38, Ping: 250.005 ms, Download Speed: 1798336.60 Mbps
